datetime,preciptype,sunrise,sunset,conditions,description,icon,stations
2023-10-01,rain,2023-10-01T07:49:34,2023-10-01T19:30:27,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-02,,2023-10-02T07:51:01,2023-10-02T19:28:21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-03,rain,2023-10-03T07:52:29,2023-10-03T19:26:16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"07149099999,07156099999,07146099999,LFPV,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
2023-10-04,rain,2023-10-04T07:53:57,2023-10-04T19:24:10,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,LFPV,07145099999,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
2023-10-05,rain,2023-10-05T07:55:25,2023-10-05T19:22:06,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,LFPV,07145099999,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
2023-10-06,rain,2023-10-06T07:56:54,2023-10-06T19:20:01,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
2023-10-07,,2023-10-07T07:58:23,2023-10-07T19:17:57,Clear,Clear conditions throughout the day.,clear-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-08,rain,2023-10-08T07:59:52,2023-10-08T19:15:54,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-09,,2023-10-09T08:01:21,2023-10-09T19:13:51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-10,,2023-10-10T08:02:51,2023-10-10T19:11:49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-11,rain,2023-10-11T08:04:21,2023-10-11T19:09:48,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-12,rain,2023-10-12T08:05:51,2023-10-12T19:07:47,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,LFPV,07145099999,07153099999,07157099999,C1292,07147099999,07150099999"
2023-10-13,rain,2023-10-13T08:07:21,2023-10-13T19:05:47,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-14,rain,2023-10-14T08:08:52,2023-10-14T19:03:48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
2023-10-15,rain,2023-10-15T08:10:23,2023-10-15T19:01:49,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-16,,2023-10-16T08:11:55,2023-10-16T18:59:51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
2023-10-17,,2023-10-17T08:13:27,2023-10-17T18:57:54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,LFPV,07145099999,07153099999,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
2023-10-18,rain,2023-10-18T08:14:59,2023-10-18T18:55:58,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-19,rain,2023-10-19T08:16:31,2023-10-19T18:54:03,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-20,rain,2023-10-20T08:18:04,2023-10-20T18:52:09,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-21,rain,2023-10-21T08:19:37,2023-10-21T18:50:16,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-22,rain,2023-10-22T08:21:10,2023-10-22T18:48:24,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-23,rain,2023-10-23T08:22:44,2023-10-23T18:46:33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-24,rain,2023-10-24T08:24:17,2023-10-24T18:44:43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-25,rain,2023-10-25T08:25:51,2023-10-25T18:42:54,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-26,rain,2023-10-26T08:27:26,2023-10-26T18:41:07,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-27,rain,2023-10-27T08:29:00,2023-10-27T18:39:21,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-28,rain,2023-10-28T08:30:35,2023-10-28T18:37:36,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-29,rain,2023-10-29T07:32:10,2023-10-29T17:35:52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-30,rain,2023-10-30T07:33:45,2023-10-30T17:34:10,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-10-31,rain,2023-10-31T07:35:21,2023-10-31T17:32:30,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-01,rain,2023-11-01T07:36:56,2023-11-01T17:30:50,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-02,rain,2023-11-02T07:38:32,2023-11-02T17:29:13,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-03,rain,2023-11-03T07:40:07,2023-11-03T17:27:36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-04,rain,2023-11-04T07:41:43,2023-11-04T17:26:02,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-05,rain,2023-11-05T07:43:19,2023-11-05T17:24:29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-06,rain,2023-11-06T07:44:54,2023-11-06T17:22:58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,LFPV,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
2023-11-07,rain,2023-11-07T07:46:30,2023-11-07T17:21:29,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-08,rain,2023-11-08T07:48:05,2023-11-08T17:20:01,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-09,rain,2023-11-09T07:49:41,2023-11-09T17:18:35,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-10,rain,2023-11-10T07:51:16,2023-11-10T17:17:11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,LFPV,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
2023-11-11,rain,2023-11-11T07:52:51,2023-11-11T17:15:50,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-12,rain,2023-11-12T07:54:26,2023-11-12T17:14:30,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-13,rain,2023-11-13T07:56:00,2023-11-13T17:13:12,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-14,rain,2023-11-14T07:57:34,2023-11-14T17:11:56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,LFPV,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
2023-11-15,rain,2023-11-15T07:59:08,2023-11-15T17:10:42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-16,rain,2023-11-16T08:00:41,2023-11-16T17:09:31,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999,D3623"
2023-11-17,rain,2023-11-17T08:02:14,2023-11-17T17:08:22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,C1292,07150099999,D3623"
2023-11-18,rain,2023-11-18T08:03:46,2023-11-18T17:07:15,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07145099999,07153099999,07157099999,C1292,07147099999,07150099999"
2023-11-19,rain,2023-11-19T08:05:18,2023-11-19T17:06:10,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-20,rain,2023-11-20T08:06:48,2023-11-20T17:05:08,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-21,rain,2023-11-21T08:08:18,2023-11-21T17:04:08,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-22,,2023-11-22T08:09:47,2023-11-22T17:03:11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-23,rain,2023-11-23T08:11:16,2023-11-23T17:02:16,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-24,rain,2023-11-24T08:12:43,2023-11-24T17:01:24,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-25,,2023-11-25T08:14:09,2023-11-25T17:00:34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-26,rain,2023-11-26T08:15:34,2023-11-26T16:59:47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-27,rain,2023-11-27T08:16:58,2023-11-27T16:59:03,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-28,rain,2023-11-28T08:18:20,2023-11-28T16:58:21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-29,,2023-11-29T08:19:41,2023-11-29T16:57:43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-11-30,rain,2023-11-30T08:21:01,2023-11-30T16:57:07,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-01,rain,2023-12-01T08:22:20,2023-12-01T16:56:33,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-02,,2023-12-02T08:23:36,2023-12-02T16:56:03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-03,,2023-12-03T08:24:51,2023-12-03T16:55:36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-04,rain,2023-12-04T08:26:05,2023-12-04T16:55:11,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-05,rain,2023-12-05T08:27:16,2023-12-05T16:54:50,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-06,rain,2023-12-06T08:28:26,2023-12-06T16:54:31,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-07,rain,2023-12-07T08:29:33,2023-12-07T16:54:15,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-08,rain,2023-12-08T08:30:39,2023-12-08T16:54:03,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-09,rain,2023-12-09T08:31:43,2023-12-09T16:53:53,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-10,rain,2023-12-10T08:32:44,2023-12-10T16:53:47,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-11,rain,2023-12-11T08:33:43,2023-12-11T16:53:43,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-12,rain,2023-12-12T08:34:40,2023-12-12T16:53:43,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-13,rain,2023-12-13T08:35:34,2023-12-13T16:53:46,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-14,rain,2023-12-14T08:36:26,2023-12-14T16:53:51,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-15,rain,2023-12-15T08:37:16,2023-12-15T16:54:00,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
2023-12-16,,2023-12-16T08:38:03,2023-12-16T16:54:12,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"07149099999,07156099999,07146099999,LFPV,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
2023-12-17,rain,2023-12-17T08:38:47,2023-12-17T16:54:27,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-18,,2023-12-18T08:39:29,2023-12-18T16:54:45,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-19,rain,2023-12-19T08:40:08,2023-12-19T16:55:06,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,LFPV,07157099999,C1292,07147099999,07150099999,LFPB"
2023-12-20,rain,2023-12-20T08:40:44,2023-12-20T16:55:29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-21,rain,2023-12-21T08:41:18,2023-12-21T16:55:56,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-22,rain,2023-12-22T08:41:49,2023-12-22T16:56:26,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-23,rain,2023-12-23T08:42:16,2023-12-23T16:56:59,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999,D3623"
2023-12-24,rain,2023-12-24T08:42:41,2023-12-24T16:57:34,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-25,rain,2023-12-25T08:43:03,2023-12-25T16:58:13,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-26,rain,2023-12-26T08:43:22,2023-12-26T16:58:54,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-27,rain,2023-12-27T08:43:39,2023-12-27T16:59:38,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-28,,2023-12-28T08:43:52,2023-12-28T17:00:25,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-29,rain,2023-12-29T08:44:02,2023-12-29T17:01:14,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-30,rain,2023-12-30T08:44:09,2023-12-30T17:02:06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2023-12-31,rain,2023-12-31T08:44:13,2023-12-31T17:03:00,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-01-01,rain,2024-01-01T08:44:14,2024-01-01T17:03:57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-01-02,rain,2024-01-02T08:44:12,2024-01-02T17:04:56,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-01-03,rain,2024-01-03T08:44:07,2024-01-03T17:05:58,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-01-04,rain,2024-01-04T08:43:59,2024-01-04T17:07:02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-01-05,rain,2024-01-05T08:43:48,2024-01-05T17:08:08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-01-06,rain,2024-01-06T08:43:34,2024-01-06T17:09:16,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-01-07,rain,2024-01-07T08:43:17,2024-01-07T17:10:27,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-01-08,"rain,snow",2024-01-08T08:42:57,2024-01-08T17:11:39,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-01-09,"rain,snow",2024-01-09T08:42:34,2024-01-09T17:12:53,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,snow,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-01-10,"rain,snow",2024-01-10T08:42:09,2024-01-10T17:14:09,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-01-11,,2024-01-11T08:41:40,2024-01-11T17:15:27,Clear,Clear conditions throughout the day.,clear-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999,D3623"
2024-01-12,,2024-01-12T08:41:09,2024-01-12T17:16:47,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999,D3623"
2024-01-13,,2024-01-13T08:40:34,2024-01-13T17:18:08,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,LFPV,07157099999,C1292,07147099999,07150099999,D3623"
2024-01-14,"rain,snow",2024-01-14T08:39:57,2024-01-14T17:19:31,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-01-15,"rain,snow",2024-01-15T08:39:17,2024-01-15T17:20:55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999,D3623"
2024-01-16,,2024-01-16T08:38:35,2024-01-16T17:22:20,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-01-17,"rain,snow",2024-01-17T08:37:50,2024-01-17T17:23:47,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999,D3623"
2024-01-18,"rain,freezingrain,snow",2024-01-18T08:37:02,2024-01-18T17:25:15,"Snow, Rain, Freezing Drizzle/Freezing Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999,D3623"
2024-01-19,,2024-01-19T08:36:11,2024-01-19T17:26:44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999,D3623"
2024-01-20,,2024-01-20T08:35:18,2024-01-20T17:28:15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999,D3623"
2024-01-21,rain,2024-01-21T08:34:23,2024-01-21T17:29:46,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-01-22,rain,2024-01-22T08:33:25,2024-01-22T17:31:19,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999,D3623"
2024-01-23,rain,2024-01-23T08:32:24,2024-01-23T17:32:52,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999,D3623"
2024-01-24,rain,2024-01-24T08:31:21,2024-01-24T17:34:26,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-01-25,rain,2024-01-25T08:30:16,2024-01-25T17:36:01,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-01-26,rain,2024-01-26T08:29:09,2024-01-26T17:37:36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-01-27,rain,2024-01-27T08:27:59,2024-01-27T17:39:12,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-01-28,,2024-01-28T08:26:47,2024-01-28T17:40:49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-01-29,,2024-01-29T08:25:33,2024-01-29T17:42:26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-01-30,,2024-01-30T08:24:17,2024-01-30T17:44:04,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-01-31,,2024-01-31T08:22:59,2024-01-31T17:45:42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-02-01,rain,2024-02-01T08:21:39,2024-02-01T17:47:20,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-02-02,rain,2024-02-02T08:20:17,2024-02-02T17:48:59,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07149099999,07156099999,07146099999,07145099999,07153099999,07157099999,C1292,07147099999,07150099999"
2024-02-03,rain,2024-02-03T08:18:53,2024-02-03T17:50:38,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-02-04,rain,2024-02-04T08:17:27,2024-02-04T17:52:17,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-02-05,,2024-02-05T08:15:59,2024-02-05T17:53:56,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-02-06,rain,2024-02-06T08:14:30,2024-02-06T17:55:35,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
