datetime,preciptype,sunrise,sunset,conditions,description,icon,stations
2024-06-13,,2024-06-13T05:46:46,2024-06-13T21:55:12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-06-14,rain,2024-06-14T05:46:40,2024-06-14T21:55:42,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07153099999,07157099999,C1292,07147099999,07150099999"
2024-06-15,rain,2024-06-15T05:46:37,2024-06-15T21:56:10,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-06-16,rain,2024-06-16T05:46:36,2024-06-16T21:56:35,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-06-17,rain,2024-06-17T05:46:38,2024-06-17T21:56:57,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-06-18,rain,2024-06-18T05:46:42,2024-06-18T21:57:17,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-06-19,rain,2024-06-19T05:46:49,2024-06-19T21:57:34,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-06-20,rain,2024-06-20T05:46:59,2024-06-20T21:57:48,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-06-21,rain,2024-06-21T05:47:12,2024-06-21T21:58:00,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-06-22,rain,2024-06-22T05:47:27,2024-06-22T21:58:09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-06-23,,2024-06-23T05:47:45,2024-06-23T21:58:16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-06-24,,2024-06-24T05:48:05,2024-06-24T21:58:19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-06-25,rain,2024-06-25T05:48:28,2024-06-25T21:58:20,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,C1292,07150099999"
2024-06-26,rain,2024-06-26T05:48:53,2024-06-26T21:58:18,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-06-27,rain,2024-06-27T05:49:20,2024-06-27T21:58:14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
